movie_id,tmdb_id,poster,tagline,overview
26,16420,https://image.tmdb.org/t/p/w300_and_h450_bestv2/nNP3FDHUIyztw5eq5AejZKzqXbz.jpg,"Envy, greed, jealousy and love.",The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.
27,9263,https://image.tmdb.org/t/p/w300_and_h450_bestv2/q31Ks8oAmM4Nq2CcGjyYYpdBAmh.jpg,In every woman there is the girl she left behind.,"Waxing nostalgic about the bittersweet passage from childhood to puberty, four childhood girlfriends — Teeny, Chrissy, Samantha and Roberta — recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more."
28,17015,https://image.tmdb.org/t/p/w300_and_h450_bestv2/10hycdhFLq3M3y0ONxIMSiY8Mrs.jpg,"A love lost, but never forgotten in this new BBC dramatization","Anne Elliot, the daughter of a financially troubled aristocratic family, is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful, and perhaps still in love with Anne."
29,902,https://image.tmdb.org/t/p/w300_and_h450_bestv2/whwT3Q9JxbAYzEc3t7uYYcCbTMf.jpg,Where happily ever after is just a dream.,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process."
30,37557,https://image.tmdb.org/t/p/w300_and_h450_bestv2/tzG1UxUSfPACREjgBrsPDRUvneH.jpg,"In 1930, Shanghai violence was not the problem. It was the solution.","Shanghai, China, 1930. When young Shuisheng arrives from the countryside, his uncle Liushu puts him at the service of Bijou, the mistress of Laoda, supreme boss of the Tang Triad, constantly threatened by his enemies, both those he knows and those lurking in the shadows."
31,9909,https://image.tmdb.org/t/p/w300_and_h450_bestv2/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg,She broke the rules... and changed their lives.,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost."
32,63,https://image.tmdb.org/t/p/w300_and_h450_bestv2/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg,The future is history.,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease."
34,9598,https://image.tmdb.org/t/p/w300_and_h450_bestv2/zKuQMtnbVTz9DsOnOJmlW71v4qH.jpg,A little pig goes a long way.,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be."
36,687,https://image.tmdb.org/t/p/w300_and_h450_bestv2/njn4FAjosndf9Y13zgflCK0DI9o.jpg,,A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.
38,33689,https://image.tmdb.org/t/p/w300_and_h450_bestv2/lEn31TRZTkGYqeqOR8vsMzZRbCY.jpg,Two identical strangers. Two different worlds. One perfect match.,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda."
39,9603,https://image.tmdb.org/t/p/w300_and_h450_bestv2/8AwVTcgpTnmeOs4TdTWqcFDXEsA.jpg,Sex. Clothes. Popularity. Is there a problem here?,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him."
40,34615,https://image.tmdb.org/t/p/w300_and_h450_bestv2/kGPsBswFOCjiGzXq4OZwzEAAODa.jpg,,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.
41,31174,https://image.tmdb.org/t/p/w300_and_h450_bestv2/aN2BcIH6rvGbYiRQCS8lxOdeeVQ.jpg,"I can smile, and murder while I smile","A murderous lust for the British throne sees Richard III descend into madness. Though the setting is transposed to the 1930s, England is torn by civil war, split between the rivaling houses of York and Lancaster. Richard aspires to a fascist dictatorship, but must first remove the obstacles to his ascension—among them his brother, his nephews and his brother's wife. When the Duke of Buckingham deserts him, Richard's plans are compromised."
42,11443,https://image.tmdb.org/t/p/w300_and_h450_bestv2/wRLepMZoUCwjLFb1WSbuUT6uVWR.jpg,"In this daring heist, the only color that counts is green",On the streets they call cash dead presidents. And that's just what a Vietnam veteran is after when he returns home from the war only to find himself drawn into a life of crime. With the aid of his fellow vets he plans the ultimate heist -- a daring robbery of an armored car filled with unmarked U.S. currency!
43,35196,https://image.tmdb.org/t/p/w300_and_h450_bestv2/z1YM3WFZnF2NwHT5IRGYUcvZBSl.jpg,"An ordinary man, an irresistible offer. In a world of seduction and power, temptation has its price.","An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician."
44,9312,https://image.tmdb.org/t/p/w300_and_h450_bestv2/fcK7tzSSXMYiMN8E9KlZJL1BYyp.jpg,Nothing In This World Has Prepared You For This.,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time."
45,577,https://image.tmdb.org/t/p/w300_and_h450_bestv2/d1VP7GNl1hh43Nyuy1Cb2BSrhEj.jpg,All she wanted was a little attention,"Suzanne Stone wants to be a world-famous news anchor and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary."
46,11861,https://image.tmdb.org/t/p/w300_and_h450_bestv2/vwYRaERccwXWCYrTzeWRZRarJOo.jpg,There's beauty in the patterns of life.,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom."
47,807,https://image.tmdb.org/t/p/w300_and_h450_bestv2/6yoghtyTpznpBik8EngEmJskVUO.jpg,Seven deadly sins. Seven ways to die.,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case."
48,10530,https://image.tmdb.org/t/p/w300_and_h450_bestv2/kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg,An American legend comes to life.,"Pocahontas, daughter of a Native American tribe chief, falls in love with an English soldier as colonists invade 17th century Virginia."
49,8391,https://image.tmdb.org/t/p/w300_and_h450_bestv2/f9edMkT6bLXVvZICn47ARnQ1Iu5.jpg,A visual treat on lust.,"A prudish woman working on tenure as a literacy professor at a large urban university finds herself attracted to a free-spirited, liberal woman who works at a local carnival."
50,629,https://image.tmdb.org/t/p/w300_and_h450_bestv2/99X2SgyFunJFXGAYnDv3sb9pnUD.jpg,Five criminals. One line up. No coincidence.,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess."
52,11448,https://image.tmdb.org/t/p/w300_and_h450_bestv2/ice135yQZp4iX2SgCmd90nKgS5j.jpg,"Of all human weaknesses, obsession is the most dangerous, and the silliest!","When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy."
53,49133,https://image.tmdb.org/t/p/w300_and_h450_bestv2/nnLpA4mqb3gvhNJQZ00cOyBmeq3.jpg,,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand."
54,26441,https://image.tmdb.org/t/p/w300_and_h450_bestv2/nVHqIuBTcTLmAIrML7T704UwfNI.jpg,The biggest kick of the year!,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles."
55,97406,https://image.tmdb.org/t/p/w300_and_h450_bestv2/uXjfK404xo7SiVlFcAoRyaFqXR4.jpg,The toughest act to follow was their dreams.,"Sadie looks up to her older sister Georgia, a successful folk singer who's happily married with children, but can't break out of the bar-band circuit and hit the big time she desperately covets. It's in part due to her attraction to drugs and booze, and also to her own unwise choice in men. Finally, though, Sadie's Achilles heel is a rough, unlovely voice very different than her sister's crowd-pleasing singing."
57,9089,https://image.tmdb.org/t/p/w300_and_h450_bestv2/3zqlKdOttWyExzopVxglz50Vjxq.jpg,"On the fourth Thursday in November, 84 million American families will gather together... And wonder why.","After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her unhinged family."
58,11010,https://image.tmdb.org/t/p/w300_and_h450_bestv2/cUaCpjVDefYShKyLmkcDsiPaBHn.jpg,Dreams do come true.,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.
60,11359,https://image.tmdb.org/t/p/w300_and_h450_bestv2/ozQAmW85tTJu2dhRe3evzyY03Nb.jpg,Adventure comes to life,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.
61,17182,https://image.tmdb.org/t/p/w300_and_h450_bestv2/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg,What do you do when justice fails?,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter."
62,2054,https://image.tmdb.org/t/p/w300_and_h450_bestv2/kBmwWeSN3ajnYHZ3dSybEobxEPI.jpg,"Of All the Lives He Changed, the One That Changed the Most Was His Own.","In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose."
63,10607,https://image.tmdb.org/t/p/w300_and_h450_bestv2/HZQBF7JDd2e9p4rPSbSHuWHaCC.jpg,"Finally, the movie that proves that Justice isn't always Poetic, Jungle Fever isn't always pretty, and Higher Learning can be a waste of time.","When Ashtray moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog, who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?"
64,19760,https://image.tmdb.org/t/p/w300_and_h450_bestv2/xSfqAMYqrTtDeAjPtYo0S8nc5Zz.jpg,"A new comedy about love, laughter, and larceny","Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned."
65,9536,https://image.tmdb.org/t/p/w300_and_h450_bestv2/pkL8rqpO0EryTV1DLJJdrhOZ7sL.jpg,Bud and Doyle are here to save the world. But who's gonna save the world from Bud and Doyle?,"Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment, but the two friends couldn't care less about saving the Earth. One day, when a group of scientists begin a mission to live inside a ""Bio-Dome"" for a year without outside contact, Bud and Doyle mistakenly become part of the project themselves."
66,11525,https://image.tmdb.org/t/p/w300_and_h450_bestv2/nsKDpcdC62krEPlCKKjLSHuMwwu.jpg,"God made him simple. Science made him a god. Now, he wants revenge.","Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan."
68,4482,https://image.tmdb.org/t/p/w300_and_h450_bestv2/xlLnHizshGBwMiNrnop2kg2nYzE.jpg,A scorned wife. An outrageous affair. The perfect revenge.,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again."
69,10634,https://image.tmdb.org/t/p/w300_and_h450_bestv2/2lReF53F8trkC68piGSfk0JVwWU.jpg,A lot can go down between thursday and saturday...,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do."
70,755,https://image.tmdb.org/t/p/w300_and_h450_bestv2/uBoQytp3KTQFaVqTe6d0ECGaKh9.jpg,One night is all that stands between them and freedom. But it's going to be a hell of a night.,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint."
71,11859,https://image.tmdb.org/t/p/w300_and_h450_bestv2/qcxsWOzBaF7MZNNThtRQWQ9Wrdk.jpg,"He's a cop on the edge. She's a woman with a dangerous secret. They've been targeted by the Russian mob, and now they're both Fair Game.","Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her"
72,28387,https://image.tmdb.org/t/p/w300_and_h450_bestv2/ynAtSpTou7snNOq32djzILw9VCA.jpg,Anxiety loves company.,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies."
73,48750,https://image.tmdb.org/t/p/w300_and_h450_bestv2/czlMyja9zSMnAuXQXTMxJ5Dw7Yc.jpg,"In a time of chaos, in a world of change, he was moved by a book he could not read to become a hero he never imagined.","In France during World War II, a poor and illiterate man, Henri Fortin (Jean-Paul Belmondo), is introduced to Victor Hugo's classic novel Les Misérables and begins to see parallels between the book and his own life."
74,20927,https://image.tmdb.org/t/p/w300_and_h450_bestv2/e0Eho8TETw1RhvX9MH9i19Xf1iM.jpg,He gave her flowers. She gave him a chance.,"The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all."
75,36929,https://image.tmdb.org/t/p/w300_and_h450_bestv2/dws3JR4Yi325Tz33XnuXEB6XjGr.jpg,A comedy for the kid in all of us.,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again."
76,9102,https://image.tmdb.org/t/p/w300_and_h450_bestv2/eqgBf791rMZG7ywHfObpXeMpiRf.jpg,The last scream you hear will be your own.,"SIRIUS 6B, Year 2078. On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms."
77,124626,https://image.tmdb.org/t/p/w300_and_h450_bestv2/oE5N0E2YGpwBtQizRO0wdLDcyC7.jpg,,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live."
78,27526,https://image.tmdb.org/t/p/w300_and_h450_bestv2/kogaCIIylHmWQo2gJrrdq8Br8b8.jpg,"...some lives cross, others collide.","After his daughter died in a hit and run, Freddy Gale has waited six years for John Booth, the man responsible, to be released from prison. On the day of release, Gale visits Booth and announces that he will kill him in one week. Booth uses his time to try and make peace with himself and his entourage, and even finds romance. Gale, whose life is spiraling down because of his obsession towards Booth, will bring himself on the very edge of sanity. At he end of the week, both men will find themselves on a collision course with each other."
79,9623,https://image.tmdb.org/t/p/w300_and_h450_bestv2/31mRYhJvaknQx8PQnR2UV7YCkLT.jpg,There is no defense.,"With his gangster boss on trial for murder, a mob thug known as ""the Teacher"" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son Oliver if she fails. She manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends Oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown."
80,46785,https://image.tmdb.org/t/p/w300_and_h450_bestv2/u6jrlgZZx3zSFPDPTVOYpueljgH.jpg,,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.
81,400,https://image.tmdb.org/t/p/w300_and_h450_bestv2/oPp6Gbrasox66WyMvPS0k8OakQf.jpg,Protect. Love. Honor. Avenge.,Five different criminals face imminent death after botching a job quite badly.
